Family,Subfamily,Tribe,Genus,animal,type,caste.number,caste.number.ref,colony.size,colony.size.ref,queen.mating.frequency.original,queen.number.continuous,queen.number.binary,Inherent_Constraints_Scale,Conditional_Constraints_Scale,Constraints_Confidence,Constraints_Scale_Notes,Ref.2,Supercolonial.Helantera.review_no.stringent.nonstringent,social.parasite.Antwiki_no.yes,clonal,hybridisation,Taxonomic_info.Antcat.registered_undescribed.species_Antcat.unregistered_incertae.sedis._subspecies
Formicidae,Myrmicinae,Attini,Acromyrmex,Acromyrmex_rugosus,ant,NA,NA,NA,NA,NA,NA,NA,3,4,1,"males when queenless, otherwise policed. described in Dijkstra, M. B., Nash, D. R. & Boomsma, J. J. 2005. Self-restraint and sterility in workers of Acromyrmex and Atta leafcutter ants. Insect. Soc. 52: 67-76.",NA,0,0,0,0,0
NA,NA,NA,NA,Acropyga_bakwele,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Acropyga_butteli,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
Formicidae,Formicinae,Lasiini,Acropyga,Acropyga_epedana,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Acropyga_nipponensis,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
Formicidae,Formicinae,Lasiini,Acropyga,Acropyga_sp.,ant,1,"Oster & Wilson, 1978",NA,"Holldobler&Wilson, 1990; Burchill & Moreau, 2016 - (citing Kaspari & Vargo, 1995)",NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,1
Formicidae,Formicinae,Lasiini,Acropyga,Acropyga_stygia,ant,1,"Oster & Wilson, 1978",NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,2
NA,NA,NA,NA,Adelomyrmex_anxiocalor,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
Formicidae,Myrmicinae,Adelomyrmecini,Adelomyrmex,Adelomyrmex_bispeculum,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Adelomyrmex_coco,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Adelomyrmex_dentivagans,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Adelomyrmex_marginodus,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Adelomyrmex_metzabok,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Adelomyrmex_nortenyo,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
Formicidae,Myrmicinae,Adelomyrmecini,Adelomyrmex,Adelomyrmex_paratristani,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Adelomyrmex_quetzal,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Aenictus_acerbus,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Aenictus_aratus,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Aenictus_carolianus,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Aenictus_diclops,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Aenictus_doydeei,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
Formicidae,Dorylinae,NA,Aenictus,Aenictus_gracilis,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Aenictus_hottai,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Aenictus_jarujini,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Aenictus_latifemoratus,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Aenictus_lifuiae,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Aenictus_nesiotis,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Aenictus_nishimurai,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Aenictus_pfeifferi,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Aenictus_philiporum,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Aenictus_silvestrii,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Aenictus_turneri,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Aenictus_yamanei,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
Formicidae,Pseudomyrmecinae,Pseudomyrmecini,Tetraponera - synonymous with Tetraponera_unidens and Tetraponera_nasuta,Agelaia_areata,wasp,1,"Jeanne & Fagen, 1974",NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
Vespidae,Polistinae,Epiponini,Agelaia,Agelaia_multipicta,wasp,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
Vespidae,Polistinae,Epiponini,Agelaia,Agelaia_pallipes,wasp,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
Vespidae,Polistinae,Epiponini,Agelaia,Agelaia_vicina,wasp,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
Formicidae,Amblyoponinae,Amblyoponini,Amblyopone,Amblyopone_australis,ant,1,"Peeters & Molet, 2010; Wilson, 1978",64,"Peeters & Molet, 2012; Villet, 1990",NA,NA,0,NA,NA,NA,,NA,0,0,0,0,0
Formicidae,Amblyoponinae,Amblyoponini,Amblyopone - could be junior synonym of Stigmatomma_pallipes,Amblyopone_pallipes,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,2
Formicidae,Amblyoponinae,Amblyoponini,Amblyopone,Amblyopone_sp1,ant,1,"Wilson, 1978",89,"Ito, 1991; Burchill & Moreau, 2016 - (citing Kaspari & Vargo, 1995)",NA,NA,0,NA,NA,NA,,NA,0,0,0,0,1
Scoliidae,NA,NA,Ancestor,Ancestor_a,ancestor,0,NA,1,NA,1,NA,1,NA,NA,NA,,NA,0,0,0,0,1
Formicidae,Myrmicinae,Crematogastrini,Ancyridris,Ancyridris_sp. 1,ant,NA,NA,15,"Burchill & Moreau, 2016 - (citing Wilson, 1959)",NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,1
Vespidae,Polistinae,Epiponini,Agelaia,Angiopolybia_pallens,wasp,1,"Gelin et al., 2008",NA,NA,NA,NA,1,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Anictus_pangantihoni,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Anochetus_boltoni,ant,NA,NA,NA,NA,NA,NA,NA,4,4,0,"Villet et al 1991 describe lack of worker ovaries in Anochetus but only specifically studied Anochetus bequaerti, Anochetus faurei and Anochetus katonae. Villet, M.H., R.M. Crewe, and F.D. Duncan. 1991. Evolutionary trends in the reproductive biology of ponerine ants (Hymenoptera: Formicidae). J. Nat. Hist. 25:1603-1610. DOI:10.1080/00222939100770991",NA,0,0,0,0,0
NA,NA,NA,NA,Anochetus_elegans,ant,NA,NA,NA,NA,NA,NA,NA,4,4,0,"Villet et al 1991 describe lack of worker ovaries in Anochetus but only specifically studied Anochetus bequaerti, Anochetus faurei and Anochetus katonae. Villet, M.H., R.M. Crewe, and F.D. Duncan. 1991. Evolutionary trends in the reproductive biology of ponerine ants (Hymenoptera: Formicidae). J. Nat. Hist. 25:1603-1610. DOI:10.1080/00222939100770991",NA,0,0,0,0,0
NA,NA,NA,NA,Anochetus_goodmani,ant,NA,NA,NA,NA,NA,NA,NA,4,4,0,"Villet et al 1991 describe lack of worker ovaries in Anochetus but only specifically studied Anochetus bequaerti, Anochetus faurei and Anochetus katonae. Villet, M.H., R.M. Crewe, and F.D. Duncan. 1991. Evolutionary trends in the reproductive biology of ponerine ants (Hymenoptera: Formicidae). J. Nat. Hist. 25:1603-1610. DOI:10.1080/00222939100770991",NA,0,0,0,0,0
NA,NA,NA,NA,Anochetus_grandidieri,ant,NA,NA,NA,NA,NA,NA,NA,4,4,0,"Villet et al 1991 describe lack of worker ovaries in Anochetus but only specifically studied Anochetus bequaerti, Anochetus faurei and Anochetus katonae. Villet, M.H., R.M. Crewe, and F.D. Duncan. 1991. Evolutionary trends in the reproductive biology of ponerine ants (Hymenoptera: Formicidae). J. Nat. Hist. 25:1603-1610. DOI:10.1080/00222939100770991",NA,0,0,0,0,0
NA,NA,NA,NA,Anochetus_madegascarensis,ant,NA,NA,NA,NA,NA,NA,NA,4,4,0,"Villet et al 1991 describe lack of worker ovaries in Anochetus but only specifically studied Anochetus bequaerti, Anochetus faurei and Anochetus katonae. Villet, M.H., R.M. Crewe, and F.D. Duncan. 1991. Evolutionary trends in the reproductive biology of ponerine ants (Hymenoptera: Formicidae). J. Nat. Hist. 25:1603-1610. DOI:10.1080/00222939100770991",NA,0,0,0,0,0
NA,NA,NA,NA,Anochetus_maryatiae,ant,NA,NA,NA,NA,NA,NA,NA,4,4,0,"Villet et al 1991 describe lack of worker ovaries in Anochetus but only specifically studied Anochetus bequaerti, Anochetus faurei and Anochetus katonae. Villet, M.H., R.M. Crewe, and F.D. Duncan. 1991. Evolutionary trends in the reproductive biology of ponerine ants (Hymenoptera: Formicidae). J. Nat. Hist. 25:1603-1610. DOI:10.1080/00222939100770991",NA,0,0,0,0,0
NA,NA,NA,NA,Anochetus_miserabilis,ant,NA,NA,NA,NA,NA,NA,NA,4,4,0,"Villet et al 1991 describe lack of worker ovaries in Anochetus but only specifically studied Anochetus bequaerti, Anochetus faurei and Anochetus katonae. Villet, M.H., R.M. Crewe, and F.D. Duncan. 1991. Evolutionary trends in the reproductive biology of ponerine ants (Hymenoptera: Formicidae). J. Nat. Hist. 25:1603-1610. DOI:10.1080/00222939100770991",NA,0,0,0,0,0
NA,NA,NA,NA,Anochetus_pattersoni,ant,NA,NA,NA,NA,NA,NA,NA,4,4,0,"Villet et al 1991 describe lack of worker ovaries in Anochetus but only specifically studied Anochetus bequaerti, Anochetus faurei and Anochetus katonae. Villet, M.H., R.M. Crewe, and F.D. Duncan. 1991. Evolutionary trends in the reproductive biology of ponerine ants (Hymenoptera: Formicidae). J. Nat. Hist. 25:1603-1610. DOI:10.1080/00222939100770991",NA,0,0,0,0,0
NA,NA,NA,NA,Anochetus_vallensis,ant,NA,NA,NA,NA,NA,NA,NA,4,4,0,"Villet et al 1991 describe lack of worker ovaries in Anochetus but only specifically studied Anochetus bequaerti, Anochetus faurei and Anochetus katonae. Villet, M.H., R.M. Crewe, and F.D. Duncan. 1991. Evolutionary trends in the reproductive biology of ponerine ants (Hymenoptera: Formicidae). J. Nat. Hist. 25:1603-1610. DOI:10.1080/00222939100770991",NA,0,0,0,0,0
Formicidae,Formicinae,Lasiini,Anoplolepis,Anoplolepis_custodiens,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,1,0,0,0,0
Formicidae,Formicinae,Lasiini,Anoplolepis,Anoplolepis_gracilipes,ant,1,"Holway et al., 2002",15000,www.antprofiler.org,NA,NA,1,3,4,1,male production occurs in queenless colonies. Lee et al. 2017. Worker reproduction of the invasive yellow crazy ant Anoplolepis gracilipes. Frontiers in Zoology 14(24),NA,2,0,0,0,0
Formicidae,Myrmicinae,Pheidolini,Aphaenogaster,Aphaenogaster_aktaci,ant,NA,NA,NA,NA,NA,NA,NA,3,4,0,,NA,0,0,0,0,0
Formicidae,Myrmicinae,Pheidolini,Aphaenogaster,Aphaenogaster_maculifrons,ant,NA,NA,NA,NA,NA,NA,NA,3,4,0,,NA,0,0,0,0,0
Formicidae,Myrmicinae,Pheidolini,Aphaenogaster,Aphaenogaster_punctaticeps,ant,NA,NA,NA,NA,NA,NA,NA,3,4,0,,NA,0,0,0,0,0
Formicidae,Myrmicinae,Pheidolini,Aphaenogaster,Aphaenogaster_radchenkoi,ant,NA,NA,NA,NA,NA,NA,NA,3,4,0,,NA,0,0,0,0,0
NA,NA,NA,Aphomomyrmex,Aphomomyrmex_afer,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
Apidae,Apinae,Apini,Apis,Apis_andreniformis,bee,1,NA,4900,"Jaffe et al., 2014",8.86,1,0,NA,NA,NA,,NA,0,0,0,0,0
Apidae,Apinae,Apini,Apis,Apis_cerana,bee,1,NA,6577.5,"Hammond&Keller, 2004; Rodriguez-Serrano et al., 2012",8.88,1,0,NA,NA,NA,,NA,0,0,0,0,0
Apidae,Apinae,Apini,Apis,Apis_dorsata,bee,1,NA,21757,"Hammond&Keller, 2004; Rodriguez-Serrano et al., 2012",30,1,0,NA,NA,NA,,NA,0,0,0,0,0
Apidae,Apinae,Apini,Apis,Apis_florea,bee,1,NA,21450.5,"Hammond&Keller, 2004; Rodriguez-Serrano et al., 2012",NA,1,0,NA,NA,NA,,NA,0,0,0,0,0
Apidae,Apinae,Apini,Apis,Apis_koschevnikovi,bee,1,NA,7000,"Jaffe et al., 2014",7.33,1,0,NA,NA,NA,,NA,0,0,0,0,0
Apidae,Apinae,Apini,Apis,Apis_laboriosa,bee,1,NA,36630,"Jaffe et al., 2014",18.28,1,0,NA,NA,NA,,NA,0,0,0,0,0
Apidae,Apinae,Apini,Apis,Apis_mellifera,bee,1,NA,53174.67,"Dornhaus et al., 2012; Rodriguez-Serrano et al., 2012; Jaffe et al., 2014",NA,1,0,NA,NA,NA,,NA,0,0,0,0,0
Apidae,Apinae,Apini,Apis,Apis_nigrocincta,bee,1,NA,6884,"Jaffe et al., 2014",31.64,1,0,NA,NA,NA,,NA,0,0,0,0,0
Formicidae,Myrmicinae,Attini,Apterostigma,Apterostigma_GR,ant,1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017",27,"Burchill & Moreau, 2016 - (citing Kaspari & Vargo, 1995)",NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,1
Formicidae,Myrmicinae,Attini,Apterostigma,Apterostigma_SH,ant,1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017",46,"Burchill & Moreau, 2016 - (citing Kaspari & Vargo, 1995)",NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,1
Formicidae,Myrmicinae,Attini,Apterostigma,Apterostigma_sp2.,ant,1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017",25,"Ferguson-Gow, 2014",NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,1
Formicidae,Myrmicinae,Attini,Apterostigma,Apterostigma_SQ,ant,1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017",45,"Kaspari & Vargo, 1995",NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,1
NA,NA,NA,Aptinoma,Aptinoma_antongil,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,Aptinoma,Aptinoma_mangabe,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,Asphinctopone,Asphinctopone_differens,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,Asphinctopone,Asphinctopone_pilosa,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,Asphinctopone,Asphinctopone_silvestrii,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
Vespidae,Polistinae,Epiponini,Synoeca,Asteloeca_ujhelyii,wasp,NA,NA,77,Kud√¥ et al 2005,NA,NA,1,NA,NA,NA,,NA,0,0,0,0,0
Halictidae,Halictinae,Augochlorini,Augochlorella,Augochlorella_michaelis,bee,1,NA,3.5,"Michner, 1974",NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
Halictidae,Halictinae,Augochlorini,Augochlorella,Augochlorella_persimilis,bee,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
Halictidae,Halictinae,Augochlorini,Augochlorella,Augochlorella_pura,bee,1,Hughes et al. 2008,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
Halictidae,Halictinae,Augochlorini,Augochlorella,Augochlorella_striata,bee,1,Hughes et al. 2008,7,"Jaffe et al., 2014",1,1,0,NA,NA,NA,,NA,0,0,0,0,0
Apidae,Apinae,Meliponini,Austroplebeia,Austroplebeia_australis,bee,1,NA,2000,"Hammond&Keller, 2004",1,1,0,NA,NA,NA,,NA,0,0,0,0,0
Apidae,Apinae,Meliponini,Austroplebeia,Austroplebeia_cassiae,bee,1,NA,3000,"Gruter, 2018",NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
Apidae,Apinae,Meliponini,Austroplebeia,Austroplebeia_symei,bee,1,NA,2800,"Hammond&Keller, 2004; Toth et al., 2004",1,1,0,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Axinidris_acholli,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Axinidris_bidens,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Axinidris_denticulata,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Axinidris_gabonica,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Axinidris_ghanensis,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Axinidris_hylekoites,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Axinidris_hypoclinoides,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Axinidris_icipe,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Axinidris_kakamegensis,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Axinidris_kinoin,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Axinidris_lignicola,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Axinidris_luhya,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Axinidris_mlalu,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Axinidris_murielae,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Axinidris_namib,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Axinidris_nigripes,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Axinidris_occidentalis,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Axinidris_okekai,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Axinidris_palligastrion,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Axinidris_stageri,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Axinidris_tridens,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Basiceros_scambognathus,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
Formicidae,Ponerinae,Ponerini,Belonopelta,Belonopelta_deletrix,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
Formicidae,Myrmicinae,Attini,Blepharidatta,Blepharidatta_brasiliensis,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
Formicidae,Myrmicinae,Attini,Blepharidatta,Blepharidatta_conops,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
Apidae,Bombinae,Bombini,Bombus,Bombus_affinis,bee,1,NA,138,"Rodriguez-Serrano et al., 2012; Michner, 1974",1,1,0,NA,NA,NA,,NA,0,0,0,0,0
